Id Tiny;Ref. Pai;Código;Embalagem;Quantidade embalagem;;;;;;;;;;;;;;;;;;;;;;;;;;;
891952365;;8188VM;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8188;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891953335;;8188-2;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891953414;;8188B-2;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891953403;;8188C-2;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891953386;;8188R-2;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891953361;;8188VM-2;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8188;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8188;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8188;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8188;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8188;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891953442;;8188-4;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891953517;;8188B-4;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891953468;;8188C-4;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891953501;;8188R-4;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891953484;;8188VM-4;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8188;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8188;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;1188;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;1187;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8187;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8180;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;180;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;180DO;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;1180;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;1180DO;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;31;EMB-009;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;32;EMB-009;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;33;EMB-009;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891944732;;34-2;EMB-009;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891944722;;34-3;EMB-009;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8031;EMB-009;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8051;EMB-009;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;51;EMB-009;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8041;EMB-009;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;41;EMB-009;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8032;EMB-009;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8052;EMB-009;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;52;EMB-009;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;42;EMB-009;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;53;EMB-009;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;43;EMB-009;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;419;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;420;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;1420;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2923;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2927;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2926;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2924;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2928;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2929;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891946847;;292X;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2921;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;292;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2920;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2922;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2925;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;295;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891946972;;293X;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2937;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2933;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2936;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2933-4;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2934;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2938;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2939;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2931;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2930;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2932;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2935;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891946972;;293X;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891951231;;2933-2;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891951280;;2937-2;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891951210;;2936-2;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2938-4;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891951225;;2934-2;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891951248;;2938-2;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2939-4;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891951195;;2939-2;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891951297;;2931-2;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891951263;;2930-2;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;293;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;293-2;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891951190;;2932-2;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891951142;;293X-2;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2930-4;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891951308;;2935-2;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891951101;;2937-4;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
