type,marketplace,marketplace_order_id,tiny_numero_pedido,canal
"not_found_in_marketplace","mercado_livre","2000011335126508","",""
"not_found_in_marketplace","mercado_livre","2000007622054111","",""
"not_found_in_marketplace","mercado_livre","2000007607640207","",""
"not_found_in_marketplace","mercado_livre","2000007598411909","",""
"not_found_in_marketplace","mercado_livre","2000007581785533","",""
"not_found_in_marketplace","mercado_livre","2000011274905432","",""
"not_found_in_marketplace","mercado_livre","2000007581622045","",""
"not_found_in_marketplace","mercado_livre","2000011254291204","",""
"not_found_in_marketplace","mercado_livre","2000007554934533","",""
"not_found_in_marketplace","mercado_livre","2000007526838017","",""
"not_found_in_marketplace","mercado_livre","2000011200093920","",""
"not_found_in_marketplace","mercado_livre","2000011169668822","",""
"not_found_in_marketplace","mercado_livre","2000007477852485","",""
"not_found_in_marketplace","mercado_livre","2000011153713602","",""
"not_found_in_marketplace","mercado_livre","2000007456064031","",""
"not_found_in_marketplace","mercado_livre","2000011097749558","",""
"not_found_in_marketplace","mercado_livre","2000007435009839","",""
"not_found_in_marketplace","mercado_livre","2000007430011265","",""
"not_found_in_marketplace","mercado_livre","2000011094596970","",""
"not_found_in_marketplace","mercado_livre","2000007425909291","",""
"not_found_in_marketplace","mercado_livre","2000007411713969","",""
"not_found_in_marketplace","mercado_livre","2000007393364659","",""
"not_found_in_marketplace","mercado_livre","2000011031222596","",""
"not_found_in_marketplace","mercado_livre","2000010973486096","",""
"not_found_in_marketplace","mercado_livre","2000007343380763","",""
"not_found_in_marketplace","mercado_livre","2000010967126918","",""
"not_found_in_marketplace","mercado_livre","2000010965367648","",""
"not_found_in_marketplace","mercado_livre","2000010962262388","",""
"not_found_in_marketplace","mercado_livre","2000007330952019","",""
"not_found_in_marketplace","mercado_livre","2000007293123401","",""
"not_found_in_marketplace","mercado_livre","2000010879633440","",""
"not_found_in_marketplace","mercado_livre","2000010833109616","",""
"not_found_in_marketplace","mercado_livre","2000007187641723","",""
"not_found_in_marketplace","mercado_livre","2000010721728816","",""
"not_found_in_marketplace","mercado_livre","2000007173513725","",""
"not_found_in_marketplace","mercado_livre","2000007146267255","",""
"not_found_in_marketplace","mercado_livre","2000007123657475","",""
"not_found_in_marketplace","mercado_livre","2000007121674217","",""
